"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"condition";"cyberball_played";"consent";"worker_id";"nt1";"nt2";"nt3";"nt4";"mood";"v_169";"b5_e1_r";"b5_a1";"b5_c1_r";"b5_n1_r";"b5_o1_r";"b5_e2";"b5_a2_r";"b5_c2";"b5_n2";"b5_o2";"excluded";"ignored";"received_tosses";"sex";"occupation";"age";"native";"no_native";"seriousness";"use_data";"use_data_reason";"comments";"task1_1";"task1_2";"task1_3";"task1_4";"task1_5";"task1_6";"task1_7";"task1_8";"task1_9";"task1_10";"task1_11";"task1_12";"task1_13";"task1_14";"task1_15";"task1_16";"task1_17";"task1_18";"task1_19";"task1_20";"task1_21";"task1_22";"task1_23";"task1_24";"task1_25";"task1_26";"task1_27";"task1_28";"task1_29";"task1_30";"task1_31";"task1_32";"task1_33";"task1_34";"task1_35";"task1_36";"task1_37";"task1_38";"task1_39";"task1_40";"task2_1";"task2_2";"task2_3";"task2_4";"task2_5";"task2_6";"task2_7";"task2_8";"task2_9";"task2_10";"task2_11";"task2_12";"task2_13";"task2_14";"task2_15";"task2_16";"task2_17";"task2_18";"task2_19";"task2_20";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6914690";"rts6915068";"rts6915822";"rts6915836";"rts6915840";"rts6915841";"rts6941320";"rts6941323";"rts6941326";"rts6941327";"rts6941335";"rts6941336";"rts6941337";"rts6941339";"rts6941344";"rts6944524";"rts6945204";"rts6945209";"tic"
"48";"0";"0";"31";"6900361";"-77";"706";"2";"2";"1";"60fc2dc121e622b544a4aabc";"2";"2";"2";"1";"5";"2";"3";"2";"5";"2";"5";"1";"4";"5";"5";"4";"9";"7";"10";"2";"Unemployed due to illness";"29";"1";"-77";"7";"2";"-77";"Instructions were clear.";"1";"1";"1";"2";"2";"2";"1";"1";"2";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"2";"1";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"5";"5";"5";"1";"2";"2";"4";"5";"2";"1";"3";"5";"5";"3";"2";"4";"3";"2";"1";"1";"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"1";"0";"0";"-77";"-77";"343b9101db6f1716e88f1d7365d39474";"2";"0";"1627472852";"2021-07-28 11:47:32";"2021-07-28 11:59:18";"0000-00-00 00:00:00";"48";"394";"541";"292";"429";"594";"69";"268";"88";"60";"659";"684";"706";"29";"122";"140";"635";"410";"b2644e4fccc0e3d7453b5fad9d54847e"
"49";"0";"0";"31";"6900361";"-77";"571";"2";"2";"1";"61009be88c7fbff91ea3fde1";"1";"1";"1";"3";"1";"2";"1";"4";"1";"2";"4";"5";"1";"5";"5";"5";"9";"7";"15";"2";"Teacher";"29";"1";"-77";"7";"2";"-77";"The questionnaire was easy to follow.";"1";"1";"1";"2";"1";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";"3";"4";"3";"3";"2";"5";"5";"6";"5";"2";"2";"2";"3";"4";"4";"6";"5";"4";"3";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"1";"0";"-77";"-77";"bccfbc88b0b6f2961a984e86a7c97cb0";"2";"0";"1627472879";"2021-07-28 11:47:59";"2021-07-28 11:57:30";"0000-00-00 00:00:00";"27";"326";"468";"200";"351";"496";"45";"188";"47";"35";"538";"551";"571";"13";"62";"70";"520";"339";"c3676443185459ea1f8623902ef99c74"
"50";"0";"0";"31";"6900361";"-77";"468";"1";"2";"1";"60fc64f4e1c7869a580e8c68";"3";"2";"2";"2";"2";"1";"1";"2";"4";"1";"4";"4";"4";"2";"2";"4";"1";"1";"40";"1";"retired";"58";"1";"-77";"7";"2";"-77";"none";"2";"2";"2";"1";"1";"1";"2";"2";"1";"2";"1";"1";"1";"2";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"2";"1";"1";"2";"2";"2";"1";"1";"2";"5";"2";"2";"2";"4";"2";"5";"3";"4";"3";"4";"5";"2";"2";"2";"4";"5";"2";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944526,6944527,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"1";"1";"0";"-77";"-77";"657e5d9600f195a39fc7b6a34e1d49a2";"2";"0";"1627472940";"2021-07-28 11:49:00";"2021-07-28 11:56:48";"0000-00-00 00:00:00";"18";"283";"371";"194";"294";"409";"47";"187";"50";"24";"446";"461";"468";"5";"57";"62";"432";"290";"5bbff24be42a02344cb0d1fbac9b2553"
"51";"0";"0";"31";"6900361";"-77";"592";"2";"2";"1";"610046bf327aeb9543911f95";"5";"5";"5";"3";"5";"2";"4";"4";"4";"5";"2";"4";"3";"5";"4";"4";"7";"7";"10";"1";"Student";"18";"1";"-77";"6";"2";"-77";"-77";"1";"1";"1";"2";"2";"1";"2";"2";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"5";"6";"3";"2";"3";"6";"6";"3";"5";"2";"3";"6";"3";"5";"3";"5";"3";"6";"5";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6915841,6915841,6945204,6941335,6941336,6941337,6900361";"0";"1";"0";"-77";"-77";"4faa497846b29a45f2a5e95d37982051";"2";"0";"1627472947";"2021-07-28 11:49:07";"2021-07-28 11:58:59";"0000-00-00 00:00:00";"20";"311";"486";"223";"363";"530";"31";"214";"69";"25";"564";"588";"592";"11";"83";"95";"552";"355";"ab473090b1e5be6774279dba6aa13251"
"52";"0";"0";"31";"6941341";"-77";"17";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Linux; Android 11; Pixel 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6941341";"1";"0";"0";"-77";"-77";"776cb68d7e9749d017e251cf51c09bcd";"2";"0";"1627472949";"2021-07-28 11:49:09";"2021-07-28 11:49:26";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"-77"
"53";"0";"0";"31";"6914692";"-77";"23";"-77";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6914692";"1";"0";"0";"-77";"-77";"38c538df23f98ab2642e5db386812ecc";"2";"0";"1627472955";"2021-07-28 11:49:15";"2021-07-28 11:49:38";"0000-00-00 00:00:00";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"-77"
"54";"0";"0";"31";"6900361";"-77";"846";"1";"2";"1";"61006e868707b0c48b92382d";"8";"6";"7";"9";"8";"2";"4";"1";"4";"1";"5";"1";"3";"4";"5";"5";"1";"1";"40";"2";"Retail";"21";"1";"-77";"7";"2";"-77";"-77";"1";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"7";"2";"5";"4";"1";"6";"2";"6";"6";"3";"3";"5";"2";"3";"2";"2";"2";"2";"1";"6";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944526,6944527,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"1";"1";"0";"-77";"-77";"ebac4f675af1bef7bef41092d208f7cd";"2";"0";"1627472963";"2021-07-28 11:49:23";"2021-07-28 12:03:29";"0000-00-00 00:00:00";"50";"503";"692";"298";"539";"740";"68";"278";"100";"61";"815";"840";"846";"34";"128";"143";"779";"518";"65c1fdcd38fe3aa2c6d3fb4e9c9d1f67"
"55";"0";"0";"31";"6900361";"-77";"753";"2";"2";"1";"60feba4ec05a3200bd64c63c";"1";"1";"1";"1";"1";"2";"2";"5";"3";"2";"4";"4";"3";"4";"4";"5";"9";"9";"1";"2";"Tutor/Education";"18";"1";"-77";"6";"2";"-77";"-77";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"1";"1";"2";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"2";"6";"4";"3";"5";"6";"6";"2";"5";"4";"1";"1";"7";"7";"5";"5";"2";"2";"6";"2";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"0";"0";"-77";"-77";"377094a2e84aa2c0377734fabeb2e6cd";"2";"0";"1627472995";"2021-07-28 11:49:55";"2021-07-28 12:02:28";"0000-00-00 00:00:00";"36";"447";"618";"249";"484";"665";"50";"228";"73";"42";"724";"748";"753";"23";"103";"119";"710";"464";"22b6bdaed1d29c77f583e702c64e47da"
"58";"0";"0";"31";"6900361";"-77";"1063";"1";"2";"1";"60fbbcf8416029bbeb15f9f8";"9";"9";"9";"9";"9";"2";"3";"5";"3";"4";"5";"4";"2";"4";"2";"5";"1";"1";"50";"1";"educationist";"40";"1";"-77";"7";"2";"-77";"-77";"1";"1";"1";"2";"1";"1";"1";"2";"2";"1";"1";"2";"1";"2";"2";"1";"2";"1";"2";"2";"1";"2";"1";"2";"1";"2";"2";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"2";"2";"2";"7";"7";"4";"2";"6";"5";"1";"6";"3";"1";"2";"2";"6";"7";"6";"4";"6";"4";"4";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944526,6944527,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"0";"0";"-77";"-77";"3f253033f088de80e6ad8ec949b667b5";"2";"0";"1627473033";"2021-07-28 11:50:33";"2021-07-28 12:08:16";"0000-00-00 00:00:00";"55";"586";"840";"344";"634";"903";"90";"321";"118";"69";"1008";"1052";"1063";"34";"168";"180";"975";"608";"8f8888ca16f26502c314ba1c0df6d8dc"
"59";"0";"0";"31";"6900361";"-77";"803";"1";"2";"1";"60fd630265aa590529c677a4";"3";"2";"6";"8";"6";"2";"4";"5";"3";"2";"1";"3";"4";"4";"4";"5";"2";"3";"25";"2";"Sound Engineer";"27";"1";"-77";"7";"2";"-77";"-77";"1";"1";"1";"2";"1";"1";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"1";"2";"2";"1";"1";"1";"2";"1";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"4";"5";"6";"2";"6";"6";"7";"6";"3";"1";"3";"3";"5";"5";"3";"5";"3";"5";"4";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944526,6944527,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"1";"0";"0";"-77";"-77";"2150b1adb3508d3d0e8d1a302735614b";"2";"0";"1627473038";"2021-07-28 11:50:38";"2021-07-28 12:04:01";"0000-00-00 00:00:00";"47";"486";"675";"275";"518";"721";"63";"252";"86";"59";"779";"801";"803";"30";"117";"133";"757";"500";"d0fcef9d366f4eb1fd6ca9ca6af5ecae"
"60";"0";"0";"31";"6900361";"-77";"591";"1";"2";"1";"60fc8721feb2707ee196d55f";"8";"6";"5";"7";"8";"2";"4";"1";"1";"1";"2";"2";"5";"3";"5";"5";"6";"4";"30";"2";"Cleaning, hotel cleaning";"18";"1";"-77";"7";"2";"-77";"Thanks for hosting, I found the game fun and the questions interesting!";"1";"2";"2";"2";"1";"1";"2";"2";"1";"1";"1";"1";"1";"2";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"2";"4";"3";"6";"5";"3";"5";"6";"3";"3";"3";"2";"6";"3";"3";"6";"6";"3";"4";"5";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944526,6944527,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"0";"0";"-77";"-77";"76fcac40e3f68d36e0237ccdb2e9ea16";"2";"0";"1627473046";"2021-07-28 11:50:46";"2021-07-28 12:00:37";"0000-00-00 00:00:00";"26";"349";"468";"240";"366";"503";"44";"223";"51";"35";"543";"564";"591";"17";"101";"109";"524";"356";"b1bf2555c672230da9ce0c369c1fe112"
"61";"0";"0";"31";"6900361";"-77";"736";"2";"2";"1";"60fe5d0d21798a5a2d4bea95";"4";"4";"4";"4";"4";"2";"2";"4";"2";"2";"1";"5";"2";"5";"4";"5";"6";"6";"1";"2";"Student";"19";"1";"-77";"7";"2";"I carefully considered my responses and went with my gut feeling/instinct, as the survey suggested ";"-";"1";"2";"1";"2";"2";"1";"2";"1";"2";"2";"1";"2";"1";"2";"1";"1";"1";"1";"1";"2";"1";"2";"1";"2";"2";"1";"2";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"2";"4";"2";"6";"2";"5";"3";"6";"2";"3";"5";"2";"5";"5";"5";"5";"4";"6";"7";"5";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"1";"0";"-77";"-77";"9b4ca7b9f2dbea40feb4ac402747ae30";"2";"0";"1627473054";"2021-07-28 11:50:54";"2021-07-28 12:03:10";"0000-00-00 00:00:00";"33";"440";"588";"250";"471";"624";"50";"221";"65";"42";"688";"731";"736";"23";"86";"92";"673";"454";"942d2858034f264ea73973cddc678054"
"62";"0";"0";"31";"6900361";"-77";"634";"2";"2";"1";"61008174621af4fde89d5c7f";"1";"1";"1";"4";"1";"2";"2";"4";"4";"4";"4";"2";"3";"4";"2";"2";"9";"9";"5";"1";"Teacher";"52";"1";"-77";"7";"2";"-77";"-77";"1";"1";"1";"2";"2";"1";"2";"1";"2";"1";"1";"2";"2";"1";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"1";"1";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"1";"1";"1";"2";"7";"6";"4";"6";"4";"5";"5";"5";"6";"2";"5";"3";"5";"5";"2";"3";"5";"5";"3";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"1";"0";"0";"-77";"-77";"06b8e5183e961c0e03b4f8a404ad119d";"2";"0";"1627473062";"2021-07-28 11:51:02";"2021-07-28 12:01:36";"0000-00-00 00:00:00";"33";"385";"512";"240";"415";"566";"52";"222";"70";"42";"609";"631";"634";"26";"92";"102";"592";"400";"f806d787e073838d5ba286ed634d3165"
